trade_id,timestamp_entry,timestamp_exit,side,setup_type,family_id,family_name,entry_reason,exit_reason,entry_price,exit_price,qty,gross_pnl,net_pnl,fees,slippage_cost,R_multiple,holding_time,holding_time_minutes,MFE,MAE,trend_regime,vol_regime,pre_rsi,pre_atr,pre_vwap_distance
FAM_0077_oos_00010,2025-01-29T14:57:00+00:00,2025-01-29T15:03:00+00:00,long,range_breakout,FAM_0077,trend_reentry_scalp_range_breakout_fixed_stop_fixed_tp_0077,range_breakout,tp,37265.77891548305,37407.96407870865,1.0,142.185163225593,112.31566602791631,29.869497197676683,11.201061449128757,2.5974777710928123,0:06:00,6.0,150.4557375169461,-19.965662483053165,uptrend,high_vol,56.76122168581896,54.739703571428564,0.030082910015150933
FAM_0077_oos_00011,2025-01-30T07:57:00+00:00,2025-01-30T08:00:00+00:00,long,range_breakout,FAM_0077,trend_reentry_scalp_range_breakout_fixed_stop_fixed_tp_0077,range_breakout,tp,36670.49724162381,36809.5698457288,1.0,139.07260410499293,109.68057727005188,29.392026834941046,11.022010063102892,2.5968835303374167,0:03:00,3.0,158.95526437619264,-23.312984623808006,uptrend,high_vol,68.74967663057741,53.553654785713924,0.04699439218153194
FAM_0077_oos_00012,2025-01-30T08:41:00+00:00,2025-01-30T08:48:00+00:00,long,range_breakout,FAM_0077,trend_reentry_scalp_range_breakout_fixed_stop_fixed_tp_0077,range_breakout,stop,36684.59022025355,36591.34352769565,1.0,-93.24669255789922,-122.5570660570789,29.31037349917968,10.99139006219238,-1.912596443014353,0:07:00,7.0,45.90407074645191,-117.49078825354809,uptrend,low_vol,57.040614281513044,48.75398200000044,0.046412249275808865
FAM_0077_oos_00013,2025-01-30T14:09:00+00:00,2025-01-30T14:10:00+00:00,long,range_breakout,FAM_0077,trend_reentry_scalp_range_breakout_fixed_stop_fixed_tp_0077,range_breakout,tp,36546.583399335104,36666.052670838806,1.0,119.46927150370175,90.18421707563219,29.28505442806956,10.981895410526086,2.581155648563284,0:01:00,1.0,136.0145936648987,-9.79600633510563,uptrend,low_vol,75.37692085143844,46.28518685714256,0.04851741019311792
FAM_0077_oos_00014,2025-01-30T14:32:00+00:00,2025-01-30T14:38:00+00:00,long,range_breakout,FAM_0077,trend_reentry_scalp_range_breakout_fixed_stop_fixed_tp_0077,range_breakout,tp,36821.450212173455,36934.893382663424,1.0,113.4431704899689,83.94063305203414,29.502537437934755,11.063451539225532,2.574261696302041,0:06:00,6.0,125.33808082654286,-17.305631173454458,uptrend,low_vol,65.4286287136697,44.06823542857247,0.042343870636599334
FAM_0077_oos_00015,2025-01-30T14:53:00+00:00,2025-01-30T15:07:00+00:00,long,range_breakout,FAM_0077,trend_reentry_scalp_range_breakout_fixed_stop_fixed_tp_0077,range_breakout,tp,37039.3326766415,37158.21512427331,1.0,118.88244763181137,89.20342851144545,29.679019120365922,11.129632170137223,2.5790639908790833,0:14:00,14.0,138.92966935850563,-48.35328964149812,uptrend,low_vol,72.98998601940582,46.09519114285753,0.03586227347412471
FAM_0077_oos_00016,2025-01-31T00:08:00+00:00,2025-01-31T00:11:00+00:00,short,range_breakout,FAM_0077,trend_reentry_scalp_range_breakout_fixed_stop_fixed_tp_0077,range_breakout,tp,38225.832549907245,38088.7468988238,1.0,137.08565108344192,106.5598193039495,30.52583177949242,11.447186917309658,2.591989961479602,0:03:00,3.0,-24.563995092757978,184.7413529072437,uptrend,low_vol,42.08331468533456,52.8881874999996,0.006201721568454125
FAM_0077_oos_00017,2025-01-31T01:54:00+00:00,2025-01-31T02:08:00+00:00,long,range_breakout,FAM_0077,trend_reentry_scalp_range_breakout_fixed_stop_fixed_tp_0077,range_breakout,tp,37936.53361459821,38059.53346704589,1.0,122.99985244768322,92.60142561502559,30.398426832657638,11.399410062246615,2.5802232400609406,0:14:00,14.0,135.87681340179552,-27.07965259820776,uptrend,low_vol,66.69750836843717,47.670236642856516,0.01089514446029112
FAM_0077_oos_00018,2025-01-31T12:00:00+00:00,2025-01-31T12:05:00+00:00,long,range_breakout,FAM_0077,trend_reentry_scalp_range_breakout_fixed_stop_fixed_tp_0077,range_breakout,tp,38498.22036197425,38649.40639098064,1.0,151.18602900639235,120.32697830521039,30.859050701181957,11.572144012943234,2.600274378195802,0:05:00,5.0,166.94960902575258,-8.739976974247838,uptrend,high_vol,78.50633022470325,58.1423369285715,0.003846284770948587
FAM_0077_oos_00019,2025-01-31T12:27:00+00:00,2025-01-31T12:42:00+00:00,short,range_breakout,FAM_0077,trend_reentry_scalp_range_breakout_fixed_stop_fixed_tp_0077,range_breakout,time,38548.49759488945,38441.43323618291,1.0,107.06435870654241,76.26838637411346,30.795972332428942,11.548489624660853,1.6850010846075512,0:15:00,15.0,-17.38968311055214,150.44993388945295,uptrend,high_vol,37.62861555195018,63.53963785714326,0.0026582116385269272
