family_id,family_name,hypothesis_class,train_net_pnl,validation_net_pnl,oos_net_pnl,train_profit_factor,validation_profit_factor,oos_profit_factor,train_expectancy,validation_expectancy,oos_expectancy,max_drawdown,trade_count,average_trade_pnl,average_win,average_loss,win_rate,cost_impact,slippage_impact,no_cost_result,realistic_cost_result,average_holding_time,pnl_by_side,pnl_by_setup,pnl_by_hour,pnl_by_regime
FAM_0010,breakdown_scalp_range_breakout_fixed_stop_fixed_tp_0010,breakdown_scalp,-24.837987304821873,89.85192231322034,-7.7516883470991615,0.9227498134016237,89.85192231322034,0.9070265799061982,-1.307262489727467,22.462980578305086,-1.9379220867747904,-283.15344783038086,27,2.1208239504184934,21.007460476545273,-80.98037676453934,0.8148148148148148,159.79354819710284,-50.46531877545132,152.04185985000368,-7.7516883470991615,1.75,{'short': -7.7516883470991615},{'range_breakout': -7.7516883470991615},"{'12': 26.661220170259796, '19': -66.68911686932177, '01': 32.2762083519628}",{'uptrend|high_vol': -7.7516883470991615}
FAM_0011,breakdown_scalp_range_breakout_fixed_stop_fixed_tp_0011,breakdown_scalp,2779.5117124949725,317.28365028368523,1090.9552342813322,2.26895350710359,1.2654935573950752,2.7574866131610842,37.06015616659963,11.331558938703044,43.63820937125329,-392.1696976616131,128,32.71680153953116,87.16984889593279,-117.82985879875565,0.734375,985.9188222186722,-312.0822648265369,2076.8740565000044,1090.9552342813322,6.72,"{'long': 1017.7629784943815, 'short': 73.19225578695054}",{'range_breakout': 1090.9552342813322},"{'10': 391.5599079298687, '11': 78.3089312299737, '12': -58.85438495405778, '16': 169.61226085700588, '17': 235.42412658511444, '18': 162.21530594111772, '19': -51.30639172437364, '22': -114.90232708395682, '23': 249.63837133488664, '00': 278.18837831535853, '01': -134.57954003437058, '02': -114.34940411523462}","{'uptrend|high_vol': 828.7811323803859, 'uptrend|low_vol': 262.1741019009464}"
FAM_0012,breakdown_scalp_range_breakout_fixed_stop_fixed_tp_0012,breakdown_scalp,970.5620538021556,-15.3285413717378,232.63473279652223,5.620794542017532,0.9234792736911265,2.771898381600022,64.70413692014371,-3.83213534293445,38.77245546608704,-114.42379998833454,25,47.5147298090776,91.02739707556972,-90.27538320148085,0.76,246.96789738205283,-75.99034665862192,479.60263017857505,232.63473279652223,6.5,"{'long': 249.50217118408895, 'short': -16.867438387566736}",{'range_breakout': 232.63473279652223},"{'12': 62.09635240358925, '00': 284.9621803812675, '01': -114.42379998833454}","{'uptrend|low_vol': 244.31805794970973, 'uptrend|high_vol': -11.683325153187525}"
FAM_0013,breakdown_scalp_range_breakout_fixed_stop_fixed_tp_0013,breakdown_scalp,-449.5360671054445,-270.45931541977836,-74.13206998512933,0.02594201983252579,0.001333100467633807,0.013951976430792528,-11.238401677636112,-24.587210492707126,-4.942137999008622,-443.0201469550007,66,-12.032234128944726,2.230402938523797,-13.45849783569158,0.09090909090909091,588.6800799451247,-185.90766304975,514.5480099599954,-74.13206998512933,1.0,"{'short': -61.06487902080666, 'long': -13.06719096432267}",{'range_breakout': -74.13206998512933},"{'09': -25.271081907964643, '13': -11.625034154028555, '14': -0.11428461725051875, '15': -7.406551728644935, '16': -5.565186189279025, '20': -3.7457940330140076, '21': -6.67618666919536, '01': -3.2672540726612027, '02': -10.46069661309108}","{'downtrend|high_vol': -36.8985875764213, 'downtrend|low_vol': -37.23348240870803}"
FAM_0014,pullback_continuation_range_breakout_fixed_stop_fixed_tp_0014,pullback_continuation,1054.055076906536,116.55783185693903,428.2958972972051,2.3747800884934254,1.2327606786065994,2.604122419079681,52.7027538453268,12.95087020632656,53.53698716215064,-383.7582975869608,37,43.21375151515352,125.33506036688647,-127.8723085926235,0.6756756756756757,317.309201502801,-100.18405886591317,745.6050988000061,428.2958972972051,11.0,{'long': 428.2958972972051},{'range_breakout': 428.2958972972051},"{'10': 284.4934369694503, '12': -21.049478224246585, '17': 94.00700816365253, '18': 104.49589659351969, '23': 100.9285738291998, '01': -134.57954003437058}","{'uptrend|high_vol': 17.496422151262323, 'uptrend|low_vol': 410.79947514594284}"
FAM_0015,pullback_continuation_range_breakout_fixed_stop_fixed_tp_0015,pullback_continuation,1138.722155761981,441.31504418949675,606.5920531538745,2.0095132926028656,2.1153779080715904,3.5812962184784394,18.074954853364776,17.65260176757987,27.572366052448842,-311.92243225307357,110,19.878447755503196,44.832724728334036,-79.9386601358201,0.8,822.8977825961242,-274.6099780400955,1429.4898357499987,606.5920531538745,2.090909090909091,{'long': 606.5920531538745},{'range_breakout': 606.5920531538745},"{'10': 161.40581119927953, '11': 38.98724989416918, '12': 35.75818309994113, '16': 55.1118463387633, '17': 149.15091034948748, '18': 89.81178106175136, '19': 44.92707743720495, '22': -77.10185556370453, '23': 126.90612614463635, '00': 5.479564164250839, '01': 53.540700395337886, '02': -77.38534136724283}","{'uptrend|high_vol': 597.9749512627524, 'uptrend|low_vol': 8.617101891122317}"
FAM_0016,pullback_continuation_range_breakout_fixed_stop_fixed_tp_0016,pullback_continuation,715.6240611237214,386.8107709474984,348.4599992897275,1.4190948573648905,1.7578646934771744,1.6375026747938464,7.156240611237214,9.67026927368746,9.679444424714653,-425.89659325408115,176,8.243720632732654,27.551887335474294,-120.19756221593991,0.8693181818181818,1655.486349730265,-449.7433291063989,2003.9463490199923,348.4599992897275,2.7222222222222223,"{'long': 521.6479003517084, 'short': -173.18790106198094}",{'range_breakout': 348.4599992897275},"{'10': 174.40837102330994, '11': 61.03703646746785, '12': 85.72322367264972, '16': 59.05112326500704, '17': 92.22278010133908, '18': 36.130226552894456, '19': -241.40992316008538, '22': -114.90232708395682, '23': 108.92682910457572, '00': -3.3017672811932712, '01': 71.85320485018042, '02': 18.72122177753873}","{'uptrend|high_vol': 406.5935506931398, 'uptrend|low_vol': -58.133551403412284}"
FAM_0017,pullback_continuation_range_breakout_fixed_stop_fixed_tp_0017,pullback_continuation,148.99007594409426,171.37991677280377,57.506631510233014,1.371431326292081,171.37991677280377,1.6897320906330238,7.841582944426014,42.84497919320094,14.376657877558253,-243.36899187335254,27,13.995430526930777,41.065528256076725,-80.74991152508007,0.7777777777777778,159.75767193977399,-50.455533941406344,217.264303450007,57.506631510233014,6.75,{'short': 57.506631510233014},{'range_breakout': 57.506631510233014},"{'12': 48.84258732043798, '19': -47.853764891413405, '01': 56.51780908120845}",{'uptrend|high_vol': 57.506631510233014}
FAM_0018,pullback_continuation_range_breakout_fixed_stop_fixed_tp_0018,pullback_continuation,-66.03865404229354,125.18886767007146,-116.89934574447612,0.929913515713863,1.6356368178254752,0.7224363829986818,-0.8805153872305805,4.316857505864533,-4.17497663373129,-470.78992653044713,132,-0.4374934251265015,13.06616293827026,-91.78575705986928,0.8712121212121212,1115.8410785916296,-349.9204660650403,998.9417328471536,-116.89934574447612,1.4285714285714286,"{'long': 78.6581605602699, 'short': -195.55750630474606}",{'range_breakout': -116.89934574447612},"{'10': 74.7959200170682, '11': 9.776858044706927, '12': 41.703176800570226, '16': 23.6009631969957, '17': 27.576320303115473, '18': 34.61863805545367, '19': -100.78026930232649, '22': -98.70212500384662, '23': 35.73360114616825, '00': -79.20969188213701, '01': -92.06056595561918, '02': 6.047828835374688}","{'uptrend|high_vol': 28.15774846328867, 'uptrend|low_vol': -145.0570942077648}"
FAM_0019,pullback_continuation_range_breakout_fixed_stop_fixed_tp_0019,pullback_continuation,220.04327944516695,31.763710540686326,-26.784340675834017,220.04327944516695,31.763710540686326,0.7411583475701986,12.943722320303937,10.58790351356211,-3.826334382262002,-103.47770702436696,27,8.33417219666738,12.634629089784084,-103.47770702436696,0.9629629629629629,280.8524337772698,-88.68317411765607,254.0680931014358,-26.784340675834017,1.2857142857142858,{'long': -26.784340675834017},{'range_breakout': -26.784340675834017},"{'12': 25.815763531830953, '00': -71.20418852320464, '01': 18.604084315539666}","{'uptrend|low_vol': -77.68713775530892, 'uptrend|high_vol': 50.9027970794749}"
